BGM|https://raw.githubusercontent.com/Persvicx/VRLegsCustomMapData/refs/heads/main/Objects/Objects.ogg|0.1
MAT|mat1|https://raw.githubusercontent.com/Persvicx/VRLegsCustomMapData/refs/heads/main/Objects/Texture.png|1|1
LIGHT|Directional Light|255,200,224,255|1.5|1000|59,221,0|Soft
PRIMITIVE|Ground|Plane|0,0,0|0,0,0|100,1,100|mat1|false
LOOP_PRIMITIVE|50|Stairs|Cube|0,2.5,0|0.5,0.25,-0.001|0,0,0|5,1,5|mat1|true
PRIMITIVE|Slope|Cube|0,5,-15|35,0,0|20,1,20|mat1|true
PRIMITIVE|Cube|Cube|-10,2.5,0|0,0,0|5,5,5|mat1|true
PRIMITIVE|Sphere|Sphere|0,2,10|0,0,0|4,4,4|mat1|true
PRIMITIVE|Capsule|Capsule|5,4,10|0,0,0|4,4,4|mat1|true
PRIMITIVE|Cylinder|Cylinder|10,4,10|0,0,0|4,4,4|mat1|true
PRIMITIVE|Cube|Cube|15,2,10|0,0,0|4,4,4|mat1|true
PRIMITIVE|Plane|Plane|20,2,10|0,0,0|0.5,0.5,0.5|mat1|true
PRIMITIVE|Quad|Quad|25,2,10|0,0,0|4,4,4|mat1|true
